iter	Passed	Remaining
0	1	190
1	3	177
2	5	170
3	6	156
4	8	162
5	10	159
6	12	160
7	13	159
8	15	158
9	17	157
10	19	155
11	21	154
12	23	154
13	24	153
14	26	152
15	28	150
16	30	149
17	32	148
18	34	146
19	36	145
20	38	143
21	40	142
22	41	140
23	43	138
24	45	135
25	47	133
26	48	131
27	50	129
28	52	127
29	53	125
30	56	124
31	57	122
32	59	120
33	61	118
34	62	116
35	64	114
36	66	112
37	67	110
38	69	108
39	71	106
40	72	104
41	73	101
42	75	99
43	77	98
44	78	96
45	80	94
46	82	92
47	84	91
48	86	89
49	88	88
50	89	86
51	91	84
52	93	82
53	95	81
54	96	78
55	98	77
56	99	75
57	101	73
58	102	71
59	104	69
60	106	67
61	107	66
62	109	64
63	111	62
64	113	60
65	114	59
66	116	57
67	117	55
68	119	53
69	120	51
70	122	50
71	124	48
72	126	46
73	128	45
74	129	43
75	131	41
76	133	39
77	134	37
78	136	36
79	137	34
80	139	32
81	140	30
82	142	29
83	143	27
84	145	25
85	146	23
86	147	22
87	149	20
88	150	18
89	152	16
90	154	15
91	155	13
92	157	11
93	158	10
94	160	8
95	161	6
96	162	5
97	164	3
98	165	1
99	167	0
